family,metric,metric_order,species,fold,model_type,model_label,score,score_name
Cycle consistency,Gene-marginal variance,3,Human,9,permuted_both,Permuted both,-5.5697706013395e-4,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Human,9,permuted_human,Permuted human,-0.00252059576428318,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Human,9,permuted_human,Permuted human,-0.0037952851244629,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Human,9,permuted_mouse,Permuted mouse,0.9920361436644142,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Human,9,permuted_mouse,Permuted mouse,0.7798335984517086,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Mouse,0,FlowTransOP,FlowTransOP,0.947998888985388,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Mouse,0,FlowTransOP,FlowTransOP,0.5756114739155291,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Mouse,0,permuted_both,Permuted both,-0.00838138650954679,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Mouse,0,permuted_both,Permuted both,-0.00531245608768442,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Mouse,0,permuted_human,Permuted human,0.9589307546913228,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Mouse,0,permuted_human,Permuted human,0.6275492500505825,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Mouse,0,permuted_mouse,Permuted mouse,-0.00216145853847284,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Mouse,0,permuted_mouse,Permuted mouse,-0.00541750038009871,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Mouse,1,FlowTransOP,FlowTransOP,0.9497730376904108,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Mouse,1,FlowTransOP,FlowTransOP,0.6063011098858302,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Mouse,1,permuted_both,Permuted both,-0.00850457764366175,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Mouse,1,permuted_both,Permuted both,-0.00137357135757556,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Mouse,1,permuted_human,Permuted human,0.9812143322469318,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Mouse,1,permuted_human,Permuted human,0.6981426942218504,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Mouse,1,permuted_mouse,Permuted mouse,-0.00268268721514034,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Mouse,1,permuted_mouse,Permuted mouse,-4.5449975310389e-4,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Mouse,2,FlowTransOP,FlowTransOP,0.9353251335576984,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Mouse,2,FlowTransOP,FlowTransOP,0.5407906977748939,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Mouse,2,permuted_both,Permuted both,-0.00870485543023762,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Mouse,2,permuted_both,Permuted both,0.00163592183812697,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Mouse,2,permuted_human,Permuted human,0.9758248696737586,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Mouse,2,permuted_human,Permuted human,0.6986294964024664,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Mouse,2,permuted_mouse,Permuted mouse,-0.00222532800983909,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Mouse,2,permuted_mouse,Permuted mouse,-0.0026233526975238,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Mouse,3,FlowTransOP,FlowTransOP,0.9675217569140084,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Mouse,3,FlowTransOP,FlowTransOP,0.6709748895609808,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Mouse,3,permuted_both,Permuted both,-0.00807464921360608,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Mouse,3,permuted_both,Permuted both,-0.00335168107666472,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Mouse,3,permuted_human,Permuted human,0.977008218374838,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Mouse,3,permuted_human,Permuted human,0.632277151963755,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Mouse,3,permuted_mouse,Permuted mouse,-0.00235314468774435,Gene-marginal mean Pearson r
