iteration,variable,value,sample_size,feature_size,variable_name
16,pv_11,0.9999999682428428,32,64,X_1
17,pv_11,1.0000000138032663,32,64,X_1
18,pv_11,0.9999999934417083,32,64,X_1
19,pv_11,0.9999999711965702,32,64,X_1
20,pv_11,0.9999999741814474,32,64,X_1
21,pv_11,1.0000000043583857,32,64,X_1
22,pv_11,1.0000000018236972,32,64,X_1
23,pv_11,1.000000004520955,32,64,X_1
24,pv_11,0.9999999976640992,32,64,X_1
25,pv_11,0.9999999993940638,32,64,X_1
26,pv_11,0.9999999740469259,32,64,X_1
27,pv_11,0.9999999692086435,32,64,X_1
28,pv_11,0.9999999582053416,32,64,X_1
29,pv_11,0.9999999800556358,32,64,X_1
0,pv_12,1.0000000524795298,32,64,X_1
1,pv_12,1.0000000143839225,32,64,X_1
2,pv_12,0.9999999888896635,32,64,X_1
3,pv_12,1.0000000111884402,32,64,X_1
4,pv_12,1.0000000142170777,32,64,X_1
5,pv_12,1.0000000125501325,32,64,X_1
6,pv_12,1.0000000325213512,32,64,X_1
7,pv_12,0.9999999564629058,32,64,X_1
8,pv_12,1.000000031037389,32,64,X_1
9,pv_12,0.9999999859956916,32,64,X_1
10,pv_12,1.0000000249180436,32,64,X_1
11,pv_12,0.9999999868511769,32,64,X_1
12,pv_12,0.9999998619947399,32,64,X_1
13,pv_12,0.9999999878405217,32,64,X_1
14,pv_12,0.9999999688476485,32,64,X_1
15,pv_12,0.9999999516691338,32,64,X_1
16,pv_12,1.0000000215841418,32,64,X_1
17,pv_12,0.9999999847768799,32,64,X_1
18,pv_12,1.0000000060576175,32,64,X_1
19,pv_12,0.9999999597217819,32,64,X_1
20,pv_12,0.9999999831110581,32,64,X_1
21,pv_12,0.999999944883167,32,64,X_1
22,pv_12,0.9999999544740678,32,64,X_1
23,pv_12,1.0000000213013296,32,64,X_1
24,pv_12,0.9999999803790074,32,64,X_1
25,pv_12,0.9999999939157628,32,64,X_1
26,pv_12,0.9999999739803561,32,64,X_1
27,pv_12,0.9999999982181469,32,64,X_1
28,pv_12,1.00000000649638,32,64,X_1
29,pv_12,1.0000000064538825,32,64,X_1
0,pv_13,0.9999999897553115,32,64,X_1
1,pv_13,1.0000000239042808,32,64,X_1
2,pv_13,1.0000000053560156,32,64,X_1
3,pv_13,0.9999999976081001,32,64,X_1
4,pv_13,0.9999999650783528,32,64,X_1
5,pv_13,0.9999999935978999,32,64,X_1
6,pv_13,1.000000018525687,32,64,X_1
7,pv_13,1.000000000243015,32,64,X_1
