fold,direction,feature_set,comparison,model_type,model_label,metric,value,lower_better
2,Human to mouse,All target genes,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Mean top-1 target cosine,0.5871453456699848,FALSE
2,Human to mouse,All target genes,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Mean top-k target cosine,0.5862063538908958,FALSE
2,Human to mouse,Orthologues,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Centroid distance,395.80999755859375,TRUE
2,Human to mouse,Orthologues,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Centroid cosine,0.6776793599128723,FALSE
2,Human to mouse,Orthologues,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Centroid Pearson,-0.00554544199258089,FALSE
2,Human to mouse,Orthologues,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Centroid Spearman,-0.00913803163014972,FALSE
2,Human to mouse,Orthologues,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Mean top-1 target cosine,0.6812053255856038,FALSE
2,Human to mouse,Orthologues,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Mean top-k target cosine,0.6792629376888275,FALSE
2,Mouse to human,All target genes,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Centroid distance,100.87537384033205,TRUE
2,Mouse to human,All target genes,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Centroid cosine,0.9879825115203856,FALSE
2,Mouse to human,All target genes,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Centroid Pearson,0.9680647253990172,FALSE
2,Mouse to human,All target genes,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Centroid Spearman,0.9626652696005724,FALSE
2,Mouse to human,All target genes,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Mean top-1 target cosine,0.978429904270172,FALSE
2,Mouse to human,All target genes,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Mean top-k target cosine,0.976992274659872,FALSE
2,Mouse to human,Orthologues,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Centroid distance,82.44416809082031,TRUE
2,Mouse to human,Orthologues,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Centroid cosine,0.9898866415023804,FALSE
2,Mouse to human,Orthologues,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Centroid Pearson,0.9422847032546996,FALSE
2,Mouse to human,Orthologues,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Centroid Spearman,0.9406319407097498,FALSE
