,itearation,variable,value,sample_size
547,7,x_19,0.9999660477633009,64
548,8,x_19,0.9916541225405029,64
549,9,x_19,0.9999820681434844,64
550,10,x_19,0.999983610120252,64
551,11,x_19,0.9999942064024213,64
552,12,x_19,0.9999999959858296,64
553,13,x_19,0.9999999807092991,64
554,14,x_19,0.9999980803595055,64
555,15,x_19,0.9999999926843068,64
556,16,x_19,0.9999584740138295,64
557,17,x_19,0.9989920877861524,64
558,18,x_19,0.999999618276163,64
559,19,x_19,0.9998882963347699,64
560,20,x_19,0.9980850472108119,64
561,21,x_19,1.0000000149630432,64
562,22,x_19,0.999999961089126,64
563,23,x_19,1.0000000191265268,64
564,24,x_19,0.9972933221644277,64
565,25,x_19,0.9992223401261134,64
566,26,x_19,0.9999670123206272,64
567,27,x_19,1.0000000031592287,64
568,28,x_19,0.9999999678265833,64
569,29,x_19,0.9999997504621763,64
570,0,x_20,0.9999999472974281,64
571,1,x_20,0.9999999833281066,64
572,2,x_20,1.000000002031234,64
573,3,x_20,0.9999878348100848,64
574,4,x_20,0.9999873031519854,64
